en	phonetic	cn	example	exampleCn	synonym	root
environment	/ɪnˈvaɪrənmənt/	n. 环境	We should protect the environment.	我们应该保护环境。	同义：surroundings, atmosphere反义：chaos	en 在内 + viron 环绕 + ment；周围环绕
opportunity	/ˌɒpəˈtjuːnəti/	n. 机会	This is a great opportunity for you.	这对你来说是个好机会。		
knowledge	/ˈnɒlɪdʒ/	n. 知识	Knowledge is power.	知识就是力量。		
experience	/ɪkˈspɪəriəns/	n. 经验	Experience is the best teacher.	经验是最好的老师。		
improve	/ɪmˈpruːv/	v. 提高	I want to improve my English.	我想提高我的英语。		
achieve	/əˈtʃiːv/	v. 实现	Work hard to achieve your goal.	努力实现你的目标。	同义：accomplish, attain反义：fail	a 到 + chief 终点
influence	/ˈɪnfluəns/	n. 影响	Music has a great influence on me.	音乐对我有很大影响。		
communicate	/kəˈmjuːnɪkeɪt/	v. 交流	We should communicate with each other.	我们应该互相交流。	同义：talk, exchange反义：isolate	com 共同 + mun 交流 + icate
culture	/ˈkʌltʃə(r)/	n. 文化	Every country has its own culture.	每个国家都有自己的文化。		
develop	/dɪˈveləp/	v. 发展	The city is developing fast.	这座城市发展很快。	同义：grow, cultivate反义：weaken	de 去掉 + vel 包裹；打开包裹发展
education	/ˌedʒuˈkeɪʃn/	n. 教育	Education is very important.	教育非常重要。	同义：schooling, teaching反义：ignorance	educate + ion 名词后缀
effort	/ˈefət/	n. 努力	Success needs hard effort.	成功需要努力。	同义：attempt, struggle反义：laziness	ef 向外 + fort 力量；使出力量
future	/ˈfjuːtʃə(r)/	n. 未来	The future is in your hands.	未来掌握在你手中。		
health	/helθ/	n. 健康	Health is more important than wealth.	健康比财富更重要。		
independent	/ˌɪndɪˈpendənt/	adj. 独立的	She is an independent girl.	她是一个独立的女孩。		
language	/ˈlæŋɡwɪdʒ/	n. 语言	English is a world language.	英语是一门世界语言。		
memory	/ˈmeməri/	n. 记忆	I have a good memory.	我的记忆力很好。		
patient	/ˈpeɪʃnt/	adj. 有耐心的	Be patient with your study.	学习要有耐心。		
practice	/ˈpræktɪs/	v. 练习	Practice makes perfect.	熟能生巧。		
progress	/ˈprəɡres/	n. 进步	You have made great progress.	你取得了很大进步。		
abandon	/əˈbændən/	v. 放弃；抛弃	Never abandon your dreams.	永远不要放弃你的梦想。	同义：desert, give up反义：retain, hold on	a - 脱离 + band 束缚；挣脱束缚→抛弃
ability	/əˈbɪləti/	n. 能力	She has the ability to solve it.	她有能力解决这件事。	同义：capability, skill反义：disability	able 有能力 + ity 名词后缀
absorb	/əbˈzɔːb/	v. 吸收	Plants absorb water from soil.	植物从土壤中吸收水分。	同义：assimilate, soak反义：release	ab 加强 + sorb 吸入
access	/ˈækses/	n. 通道；机会	Students have free access to the library.	学生可以免费使用图书馆。	同义：entry, reach反义：block	ac 靠近 + cess 行走
accompany	/əˈkʌmpəni/	v. 陪伴	I will accompany you to the airport.	我会陪你去机场。	同义：escort, go with反义：leave alone	ac 共同 + company 同伴
accomplish	/əˈkʌmplɪʃ/	v. 完成	He accomplished the task on time.	他按时完成了任务。	同义：achieve, finish反义：fail	ac 完全 + compl 填满 + ish
accurate	/ˈækjərət/	adj. 准确的	The report is accurate.	这份报告是准确的。	同义：precise, exact反义：inaccurate	ac 加强 + cura 照料（仔细核对）
acquire	/əˈkwaɪə(r)/	v. 获得	She acquired new skills at work.	她在工作中获得了新技能。	同义：obtain, gain反义：lose	ac 加强 + quire 寻求
adapt	/əˈdæpt/	v. 适应	You need to adapt to the new life.	你需要适应新生活。	同义：adjust, modify反义：resist	ad 朝向 + apt 合适
adequate	/ˈædɪkwət/	adj. 足够的	We have adequate food and water.	我们有充足的食物和水。	同义：sufficient, enough反义：inadequate	ad 平衡 + equ 相等
adjust	/əˈdʒʌst/	v. 调整	Adjust the volume of the TV.	调整一下电视的音量。	同义：adapt, regulate	ad 加强 + just 公正（校准）
admire	/ədˈmaɪə(r)/	v. 钦佩	I admire her courage.	我钦佩她的勇气。	同义：respect, appreciate反义：despise	ad 加强 + mir 惊奇（赞叹）
adopt	/əˈdɒpt/	v. 采纳；收养	We should adopt a new method.	我们应该采用新方法。	同义：accept, take反义：reject	ad 朝向 + opt 选择
advantage	/ədˈvɑːntɪdʒ/	n. 优势	Speaking English is an advantage.	会说英语是一个优势。	同义：benefit, merit反义：disadvantage	advance 前进 + age
advertise	/ˈædvətaɪz/	v. 做广告	They advertise their products online.	他们在网上为自己的产品做广告。	同义：promote, publicize	ad 朝向 + vert 转向 + ise
advance	/ədˈvɑːns/	v. 前进；进展	Technology advances very fast.	科技进步非常快。	同义：progress, promote反义：regress	ad 向前 + vance 前行
affect	/əˈfekt/	v. 影响	Weather can affect our mood.	天气会影响我们的情绪。	同义：influence, impact反义：ignore	af 加强 + fect 做（作用于）
afford	/əˈfɔːd/	v. 负担得起	I can't afford this car.	我买不起这辆车。	同义：bear, supply	af 加强 + ford 前进（拿出财力）
agenda	/əˈdʒendə/	n. 议程	The first item on the agenda is safety.	议程第一项是安全。		
aggressive	/əˈɡresɪv/	adj. 好斗的	He became aggressive when angry.	他生气时变得很好斗。		
alternative	/ɔːlˈtɜːnətɪv/	n. 替代方案	We need an alternative plan.	我们需要一个备选方案。	同义：optional反义：fixed	alter 更换 + native
ambition	/æmˈbɪʃn/	n. 雄心	Her ambition is to be a doctor.	她的志向是成为一名医生。		
ancient	/ˈeɪnʃənt/	adj. 古代的	They visited an ancient temple.	他们参观了一座古庙。	同义：old, antique反义：modern	anci 从前 + ent
announce	/əˈnaʊns/	v. 宣布	They announced the good news.	他们宣布了这个好消息。	同义：declare, inform反义：hide	ad 朝向 + nounce 宣告
annual	/ˈænjuəl/	adj. 每年的	The company holds an annual meeting.	公司每年举行年会。	同义：yearly	ann 年 + ual
anxious	/ˈæŋkʃəs/	adj. 焦虑的	She felt anxious before the exam.	考试前她感到很焦虑。	同义：worried, eager反义：calm	anxi 忧虑 + ous
apparent	/əˈpærənt/	adj. 明显的	It was apparent that he was tired.	很明显他累了。		
appeal	/əˈpiːl/	v. 呼吁；吸引	The design appeals to young people.	这个设计很吸引年轻人。		
apply	/əˈplaɪ/	v. 申请；应用	I will apply for that job.	我要申请那份工作。	同义：utilize, request	ap 朝向 + ply 折叠（贴合使用）
appoint	/əˈpɔɪnt/	v. 任命	They appointed her as manager.	他们任命她为经理。	同义：assign, schedule	ap 朝向 + point 点（指定）
appreciate	/əˈpriːʃieɪt/	v. 感激；欣赏	I appreciate your help.	我感激你的帮助。		
approach	/əˈprəʊtʃ/	v. 接近 n. 方法	Winter is approaching.	冬天快到了。	同义：method, near反义：avoid	ap 加强 + proach 靠近
appropriate	/əˈprəʊpriət/	adj. 恰当的	Wear appropriate clothes for the party.	参加聚会要穿合适的衣服。		
approve	/əˈpruːv/	v. 赞成	Her parents approve of the plan.	她的父母赞成这个计划。		
applicant	/ˈæplɪkənt/	n. 申请人	Each applicant had an interview.	每位申请人都参加了面试。		
argue	/ˈɑːɡjuː/	v. 争论	Don't argue with your parents.	不要和父母争吵。	同义：debate, quarrel反义：agree	argu 清晰辩明
arise	/əˈraɪz/	v. 出现	Problems may arise at any time.	问题随时可能出现。		
arrange	/əˈreɪndʒ/	v. 安排	I will arrange the meeting.	我会安排这次会议。	同义：organize, plan反义：mess	ar 加强 + range 排列
aspect	/ˈæspekt/	n. 方面	Every aspect of life is important.	生活的每个方面都很重要。		
assess	/əˈses/	v. 评估	We need to assess the damage.	我们需要评估损失。	同义：evaluate, judge反义：ignore	as 加强 + sess 评判
assign	/əˈsaɪn/	v. 分配	The teacher assigned us homework.	老师给我们布置了作业。	同义：distribute, allocate	as 朝向 + sign 标记
