en	phonetic	cn	example	exampleCn
good morning	/ɡʊd ˈmɔːnɪŋ/	早上好	Good morning, everyone.	大家早上好。
thank you	/θæŋk juː/	谢谢你	Thank you for your help.	谢谢你的帮助。
excuse me	/ɪkˈskjuːz miː/	打扰一下	Excuse me, where is the station?	打扰一下，车站在哪里？
nice to meet you	/naɪs tə miːt juː/	很高兴见到你	Nice to meet you, too.	我也很高兴见到你。
how are you	/haʊ ɑː juː/	你好吗	How are you today?	你今天好吗？
see you later	/siː juː ˈleɪtə(r)/	回头见	See you later, my friend.	回头见，我的朋友。
have a good day	/hæv ə ɡʊd deɪ/	祝你愉快	Have a good day at work.	祝你工作愉快。
no problem	/nəʊ ˈprɒbləm/	没问题	No problem, I can help you.	没问题，我可以帮你。
take care	/teɪk keə(r)/	保重	Take care of yourself.	照顾好自己。
come on	/kʌm ɒn/	加油；来吧	Come on, you can do it!	加油，你可以的！
what time	/wɒt taɪm/	几点	What time is it now?	现在几点了？
for example	/fɔː(r) ɪɡˈzɑːmpl/	例如	For example, apples are fruits.	例如，苹果是水果。
in my opinion	/ɪn maɪ əˈpɪnjən/	在我看来	In my opinion, it is a good idea.	在我看来，这是个好主意。
by the way	/baɪ ðə weɪ/	顺便说一下	By the way, I like your bag.	顺便说一下，我喜欢你的包。
at first	/æt fɜːst/	起初	At first, it was difficult.	起初，这很难。
get up	/ɡet ʌp/	起床	I get up at seven o'clock.	我七点起床。
look for	/lʊk fɔː(r)/	寻找	I am looking for my keys.	我在找我的钥匙。
wait for	/weɪt fɔː(r)/	等待	Please wait for me.	请等等我。
turn on	/tɜːn ɒn/	打开	Please turn on the light.	请把灯打开。
turn off	/tɜːn ɒf/	关闭	Please turn off your phone.	请关掉你的手机。
